name,slug,positions,team,age,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,# of Dunks,Corner 3s %3PA,Corner 3s 3P%,Attempted Heaves,# of Heaves
Randy Foye,foyera01,SHOOTING GUARD,DENVER NUGGETS,29.25,57.125,28.0625,1410.1875,190.125,482.125,78.375,219.8125,83.6875,98.5625,18.3125,106.5625,152.125,37.875,17.375,79.875,115.375,542.3125,2013.25,0.38206249999999997,17.35,0.519125,0.1758125,0.0950625,0.0481875,0.2,0.480875,0.416625,0.5724375,0.3183125,0.32475,0.3425,0.342875,0.2931875,0.7588125,0.0056875,3.4375,0.221,0.36512500000000003,2.375,0.0
Randy Holcomb,holcora01,SMALL FORWARD,CHICAGO BULLS,26.0,4.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2006.0,1.0,18.6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,1.0,,1.0,,0.0,0.0,,,0.0,0.0
Randy Livingston,livinra01,POINT GUARD,SEATTLE SUPERSONICS,28.0,6.714285714285714,0.5714285714285714,74.0,5.857142857142857,18.142857142857142,0.8571428571428571,2.857142857142857,4.428571428571429,5.142857142857143,2.2857142857142856,4.857142857142857,11.714285714285714,3.4285714285714284,0.5714285714285714,3.142857142857143,7.714285714285714,17.0,2004.0,0.20014285714285715,12.12857142857143,0.8425714285714285,0.2852857142857143,0.16,0.096,0.30128571428571427,0.15742857142857142,0.21085714285714285,0.19433333333333333,0.20475,0.23225,0.3621666666666667,0.1875,0.627,1.0,0.0,0.0,0.1875,0.625,0.2857142857142857,0.0
Rashad McCants,mccanra01,SHOOTING GUARD,MINNESOTA TIMBERWOLVES,23.333333333333332,40.55555555555556,5.0,804.3333333333334,145.22222222222223,346.6666666666667,46.44444444444444,130.11111111111111,61.666666666666664,82.44444444444444,17.333333333333332,63.333333333333336,51.888888888888886,30.77777777777778,9.88888888888889,54.44444444444444,87.77777777777777,398.55555555555554,2008.3333333333333,0.40522222222222226,14.777777777777779,0.6184444444444445,0.28377777777777774,0.07455555555555554,0.08288888888888889,0.17722222222222223,0.3815555555555556,0.44477777777777777,0.552,0.34355555555555556,0.39766666666666667,0.3407777777777778,0.34044444444444444,0.4295555555555556,0.7655555555555555,0.04033333333333333,13.555555555555555,0.18533333333333332,0.2876666666666667,1.3333333333333333,0.0
Rashad Vaughn,vaughra01,SHOOTING GUARD,MILWAUKEE BUCKS,20.785714285714285,15.928571428571429,0.5714285714285714,164.78571428571428,16.428571428571427,46.142857142857146,8.928571428571429,26.857142857142858,2.142857142857143,3.142857142857143,1.9285714285714286,13.857142857142858,8.142857142857142,4.857142857142857,2.7142857142857144,4.714285714285714,11.785714285714286,43.92857142857143,2017.7857142857142,0.37836363636363635,17.59090909090909,0.4405454545454546,0.13118181818181818,0.13136363636363638,0.14427272727272727,0.03381818181818182,0.5594545454545454,0.4093636363636364,0.49054545454545456,0.43327272727272725,0.46709090909090906,0.10925,0.39645454545454545,0.5840909090909091,0.986,0.0024545454545454545,0.21428571428571427,0.2149090909090909,0.526,0.0,0.0
Rashard Lewis,lewisra02,SMALL FORWARD,SEATTLE SUPERSONICS,28.42105263157895,55.8421052631579,49.0,1866.7894736842106,308.10526315789474,685.5263157894736,101.05263157894737,262.4736842105263,135.05263157894737,166.6315789473684,74.73684210526316,222.73684210526315,98.6842105263158,60.473684210526315,29.68421052631579,87.0,135.05263157894737,852.3157894736842,2008.421052631579,0.4402105263157895,15.394736842105264,0.596421052631579,0.16231578947368422,0.17242105263157895,0.12605263157894736,0.13536842105263158,0.40357894736842104,0.4858947368421052,0.6639473684210526,0.42268421052631583,0.3958421052631579,0.42894736842105263,0.37015789473684213,0.5264736842105263,0.9692631578947368,0.027473684210526317,23.105263157894736,0.38405263157894737,0.4133684210526316,1.3157894736842106,0.0
Rasheed Wallace,wallara01,POWER FORWARD,DETROIT PISTONS,30.09090909090909,44.5,39.77272727272727,1480.8181818181818,258.6363636363636,582.2272727272727,57.59090909090909,169.86363636363637,88.77272727272727,119.31818181818181,61.40909090909091,246.5,86.63636363636364,44.22727272727273,66.54545454545455,64.95454545454545,125.72727272727273,663.6363636363636,2005.090909090909,0.42304545454545456,14.481818181818182,0.7085454545454546,0.1655909090909091,0.17431818181818182,0.20286363636363636,0.16586363636363635,0.29145454545454547,0.46795454545454546,0.62,0.44081818181818183,0.4641363636363636,0.3515909090909091,0.3114090909090909,0.6283181818181819,0.9782272727272727,0.05959090909090909,40.86363636363637,0.13186363636363635,0.2726315789473684,1.0909090909090908,0.045454545454545456
Rasho Nesterović,nestera01,CENTER,['MINNESOTA TIMBERWOLVES' 'SAN ANTONIO SPURS' 'TORONTO RAPTORS'],28.5,72.7,54.0,1623.0,236.1,467.6,0.1,1.1,31.7,54.1,137.5,238.1,74.2,30.9,84.9,67.6,192.0,504.0,2005.5,0.5076,7.970000000000001,0.9975999999999999,0.3339,0.3151,0.14079999999999998,0.2077,0.0024000000000000002,0.5086999999999999,0.6841,0.4718,0.33799999999999997,0.39849999999999997,0.04757142857142858,0.7298,1.0,0.0436,21.3,0.04757142857142858,0.0,0.4,0.0
Rasual Butler,butlera01,SMALL FORWARD,LOS ANGELES CLIPPERS,29.72222222222222,50.166666666666664,15.0,1042.1666666666667,136.16666666666666,342.22222222222223,55.72222222222222,155.11111111111111,35.05555555555556,47.22222222222222,17.61111111111111,98.38888888888889,39.55555555555556,16.88888888888889,24.333333333333332,32.0,67.0,363.1111111111111,2009.7222222222222,0.40555555555555556,18.73888888888889,0.49805555555555553,0.10188888888888889,0.04794444444444444,0.10355555555555555,0.24550000000000002,0.5019444444444444,0.4276666666666667,0.5894375,0.308375,0.42283333333333334,0.38755555555555554,0.37716666666666665,0.6924444444444444,0.9404444444444445,0.019444444444444445,8.222222222222221,0.4512222222222222,0.3755,0.16666666666666666,0.0
Ratko Varda,vardara01,CENTER,DETROIT PISTONS,22.0,1.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,2002.0,0.667,6.6,1.0,0.667,0.0,0.0,0.333,0.0,0.667,1.0,,,0.0,,1.0,,0.0,0.0,,,0.0,0.0
Raul Neto,netora01,POINT GUARD,UTAH JAZZ,26.0,55.285714285714285,14.0,894.2857142857143,125.42857142857143,275.85714285714283,35.142857142857146,96.0,44.42857142857143,55.285714285714285,12.285714285714286,75.14285714285714,119.14285714285714,37.42857142857143,4.285714285714286,53.42857142857143,74.28571428571429,330.42857142857144,2019.0,0.455,13.214285714285714,0.6502857142857142,0.2795714285714286,0.20314285714285713,0.11057142857142857,0.05857142857142857,0.3497142857142857,0.5034285714285714,0.6401428571428571,0.41428571428571426,0.3298571428571429,0.37942857142857145,0.36042857142857143,0.3007142857142857,0.8417142857142857,0.00028571428571428574,0.14285714285714285,0.26585714285714285,0.36500000000000005,2.142857142857143,0.0
